Juegos,Edad
1896 Verano,23.13888888888889
1900 Verano,28.268025078369906
1904 Verano,26.850299401197606
1906 Verano,25.614795918367346
1908 Verano,26.861979166666668
1912 Verano,26.632397408207343
1920 Verano,27.88737040527804
1924 Invierno,28.231060606060606
1924 Verano,27.7412915851272
1928 Invierno,26.894459102902374
1928 Verano,28.037221795855718
1932 Invierno,25.849137931034484
1932 Verano,31.279595478881618
1936 Invierno,24.949924127465856
1936 Verano,27.44886626561777
1948 Invierno,26.557894736842105
1948 Verano,28.98551547855723
1952 Invierno,25.682539682539684
1952 Verano,26.575802364864863
1956 Invierno,25.482076637824473
1956 Verano,26.281054823039558
1960 Invierno,24.225416036308623
1960 Verano,25.631639281620174
1964 Invierno,24.38292011019284
1964 Verano,25.456508933830747
1968 Invierno,24.091225021720245
1968 Verano,25.149570305357468
1972 Invierno,24.14910536779324
1972 Verano,25.191716481639624
1976 Invierno,23.741763134461266
1976 Verano,24.741010770505387
1980 Invierno,23.747191011235955
1980 Verano,24.453938322529954
1984 Invierno,23.374112075769535
1984 Verano,24.708377358490566
1988 Invierno,24.120253164556964
1988 Verano,24.81665868836764
1992 Invierno,24.19988864142539
1992 Verano,24.99122243630914
1994 Invierno,24.473229706390327
1996 Verano,25.478496706702828
1998 Invierno,25.27377124483234
2000 Verano,25.8281015037594
2002 Invierno,26.058357649020426
2004 Verano,25.951559389515594
2006 Invierno,26.0
2008 Verano,25.951528504544203
2010 Invierno,26.12559241706161
2012 Verano,26.11968414042432
2014 Invierno,25.822757111597372
2016 Verano,26.37632002863791
2020 Verano,31.417664332505083
