Nombre,Genero,Medallas
ACEVES PEREZ Haidee Viviana,Female,0
ALCAZAR FIGUEROA Matilde Estefania,Female,0
ANDRADE GUILLEN Luis Armando,Male,0
AVILA SANCHEZ Eduardo Adrian,Male,1
Aarn Galindo Rubio,Masculino,0
Abel Vzquez Raa,Masculino,0
Abner Mares Martnez,Masculino,0
Ada Nabila Romn Arroyo,Femenino,1
Adalberto Hernndez,Masculino,0
Adan Jurez Serrano,Masculino,0
Adn Noriega Escartin,Masculino,0
Adolfo Augusto Heriberto Clouthier,Masculino,0
Adolfo Belmonte Heredia,Masculino,0
Adolfo Gonzlez Jimenez,Masculino,0
Adolfo Romero Quiones,Masculino,0
Adrian Maycsell Romero,Masculino,0
Adrian Ponce,Masculino,0
Adriana Angeles Lozada,Femenino,0
Adriana Faviola Corona Garca,Femenino,0
Adriana Fernndez Miranda,Femenino,0
Adriana Rebeca Marmolejo Vargas,Femenino,0
Agustn Alcntara Estrada,Masculino,0
Agustn Jurez,Masculino,0
Agustn Moreno Palmer,Masculino,0
Agustn Ojeda,Masculino,0
Agustn Zaragoza Reyna,Masculino,1
"Albert J. ""Al"" Romero Ybarra",Masculino,0
"Albertina Charlotte ""Nadia"" Boudesoque Noblecourt de Haro Oliva",Femenino,0
Alberto Almanza Gonzlez,Masculino,0
Alberto Bremauntz Monge,Masculino,0
Alberto Capilla Prez,Masculino,0
Alberto Cordoba Alcala,Masculino,0
Alberto Eduard Bienvenu Barajas,Masculino,0
Alberto Enrique Acosta Palma,Masculino,0
Alberto Flix Miranda,Masculino,0
Alberto Garca Castillo,Masculino,0
Alberto Isaac Ahumada,Masculino,0
Alberto Macas Hernndez,Masculino,0
Alberto Michn Halbinger,Masculino,0
Alberto Morales,Masculino,0
Alberto Ramos Sesma,Masculino,1
Alberto Rivera,Masculino,0
"Alberto Valds Ramos, Sr.",Masculino,1
"Alberto Vldes Lacarra, Jr.",Masculino,1
Alberto lvarez Muoz,Masculino,0
Albino Morales Prez,Masculino,0
Alejandra Garza Garza,Femenino,0
Alejandra Llaneza Gmez,Femenino,0
Alejandra Orozco Loza,Femenino,1
Alejandra Ortega Sols,Femenino,0
Alejandra Tern Eligio,Femenino,0
Alejandra Valencia Trujillo,Femenino,0
Alejandra Zavala Vzquez,Femenino,0
"Alejandro ""Alex"" Fernndez",Masculino,0
Alejandro Amezcua Carried,Masculino,0
"Alejandro Christian ""Alex"" Benoit Zurcher",Masculino,0
Alejandro Daniel Islas Arroyo,Masculino,0
Alejandro Echaniz Partida,Masculino,0
Alejandro Gaxiola Robles,Masculino,0
Alejandro Guzmn Arellano,Masculino,0
Alejandro Hernndez Julia,Masculino,0
Alejandro Hernndez Pat,Masculino,0
Alejandro Manuel Crdeas Robles,Masculino,0
Alejandro Orzco,Masculino,0
Alejandro Pea Gallegos,Masculino,0
Alejandro Quiroz Galvez,Masculino,0
Alejandro Renato Yrizar Barranco,Masculino,0
Alejandro Siqueiros Quiroz,Masculino,0
Alejandro Surez Velzquez,Masculino,0
Alejandro Terrones Lpez,Masculino,0
Alessandra Giuseppina Grassi Herrera,Femenino,0
Alexa Citiali Moreo Medina,Femenino,0
Alexis Gabriela Martnez Macas,Femenino,0
Alfonso Antonio Leyva Ypez,Masculino,0
Alfonso Carlos Romo Garza,Masculino,0
Alfonso Garca,Masculino,0
Alfonso Jessel,Masculino,0
Alfonso Jones Kleiner,Masculino,0
Alfonso Ramrez Gutirrez,Masculino,0
Alfonso Stoopen Reyes,Masculino,0
Alfonso Zamora Quiroz,Masculino,1
Alfonso de Gortari,Masculino,0
Alfred Schmidt Ruke,Masculino,0
Alfredo Angulo Lpez,Masculino,0
Alfredo Cuentas,Masculino,0
Alfredo Gaona,Masculino,0
Alfredo Grisi Solrzano,Masculino,0
Alfredo Guzmn Torres,Masculino,0
Alfredo Hernndez Martnez,Masculino,0
Alfredo Jacobo Rodrguez,Masculino,0
Alfredo Lpez Ruiz,Masculino,0
Alfredo Navarrete Guevara,Masculino,0
Alfredo Olvera Gonzlez,Masculino,0
Alfredo Pealoza Carmona,Masculino,0
Alfredo Sauza Martnez,Masculino,0
Alfredo Talavera Daz,Masculino,0
Alfredo Tinoco,Masculino,0
Alicia Crdeas,Femenino,0
Aline Charlotte Olvera Clauzier,Femenino,0
Aline Reich Rincn,Femenino,0
Alma Delia Vzquez,Femenino,0
Alma Rosa Martnez,Femenino,0
Alma Socorro Martnez Toores,Femenino,0
Alonso Heinze Hauser,Masculino,0
Alonso Mariscal Abascal,Masculino,0
Alvaro Garca Taboada,Masculino,0
Amado Media Lara,Masculino,0
Amalia Yubi Uras,Femenino,0
Amilio Rodrguez,Masculino,0
Ana Elena de la Portilla,Femenino,0
Ana Gabriela Bayardo Chan,Femenino,0
Ana Gabriela Guevara Espinoza,Femenino,1
Ana Mara Casas Rivas,Femenino,0
Ana Mendoza Velasco,Femenino,0
Ana Sofa Soberanes Gonzlez,Femenino,0
Ana Yessica Ayala Muoz,Femenino,0
Anastacio Reyes,Masculino,0
Andrea Boltz,Femenino,0
Andrs Bocanegra Martnez,Masculino,0
Andrs Espinosa Prez,Masculino,0
Andrs Gerard Contreras,Masculino,0
Andrs Gmez Domnguez,Masculino,1
Andrs Santoyo Montesios,Masculino,0
Angel Guzman,Masculino,0
Angel Maldonado Campos,Masculino,0
