Equipo,Edad
30. Februar,44.0
A North American Team,44.0
Acipactli,52.0
Acturus,27.0
Afghanistan,35.0
Akatonbo,44.0
Alain IV,54.0
Albania,46.0
Alcaid,33.0
Aldebaran,40.0
Aldebaran II,39.0
Aletta,40.0
Algeria,48.0
Ali-Baba II,51.0
Ali-Baba IV,41.0
Ali-Baba IX,53.0
Ali-Baba VI,49.0
Allegro,38.0
Almaz,27.0
Aloha II,43.0
Amateur Athletic Association,29.0
American Samoa,43.0
Amolgavar,36.0
Amstel Amsterdam,24.0
Amulet-3,34.0
Amulet-7,34.0
Ancora,36.0
Andorinha,40.0
Andorra,61.0
Andromeda,29.0
Angelita,47.0
Angerburg,19.0
Angola,51.0
Anitra,43.0
Antares,30.0
Antigua and Barbuda,38.0
Antwerpia V,49.0
Apache,60.0
Aphrodite,34.0
Arcturus,38.0
Ardilla,43.0
Aretusa,44.0
Argentina,60.0
Argentina-1,38.0
Argentina-2,36.0
Argeste,52.0
Argo II,55.0
Argonaut Rowing Club,26.0
Argus,47.0
Ariel,29.0
Ariette-10,62.0
Ariette-8,62.0
Armenia,42.0
Aruba,49.0
Aschenbrodel,44.0
Astrid III,51.0
Atalanta Boat Club-1,27.0
Atalanta Boat Club-2,27.0
Atlanta,52.0
Augsburg,29.0
Ausonia,44.0
Australasia,31.0
Australia,62.0
Australia-1,37.0
Australia-2,39.0
Australia-3,34.0
Australia/Great Britain,23.0
Austria,76.0
Austria-1,48.0
Austria-2,48.0
Azerbaijan,59.0
"BLO Polo Club, Rugby",37.0
Babe,36.0
Baccara,52.0
"Bagatelle Polo Club, Paris",34.0
Bahamas,70.0
Bahrain,43.0
Bajazzo,49.0
Balaton,34.0
Ballerina IV,55.0
Bamba,40.0
Bangladesh,32.0
Barbados,61.0
Barco Deloro,53.0
Barion/Bari-2,40.0
Barrenjoey,59.0
Beatrijs III-1,50.0
Beaver,56.0
Belarus,57.0
Belarus-1,29.0
Belarus-2,22.0
Belgium,74.0
Belgium-1,54.0
Belgium-2,54.0
Belgium-3,34.0
Belgium-4,28.0
Belize,70.0
Bella,34.0
Bellatrix IX,43.0
Bellatrix XIII,47.0
Bem II,49.0
Benin,37.0
Bera,48.0
Berliner Ruderclub,19.0
Berliner Ruderclub Sport-Borussia-1,33.0
Berliner Ruderverein von 1876-2,29.0
Bermuda,46.0
Bermudes,54.0
Bermudian,40.0
Bhutan,41.0
Bim,35.0
Bingo,39.0
Bissbi,35.0
Blue Red,22.0
Bluebottle,34.0
Bohemia,42.0
Bohemia-1,25.0
Bohemia-2,29.0
Bohemia-3,24.0
Bohemia/Great Britain,35.0
Bolivia,55.0
Bona Fide,51.0
Bonaparte,46.0
Bonzo,51.0
Boreas,35.0
Boreas-2,20.0
Bosnia and Herzegovina,52.0
Boston Archers,42.0
Botswana,48.0
Brandenburg,41.0
Brazil,56.0
Brazil-1,39.0
Brazil-2,37.0
Bremen,19.0
Brentina,53.0
Breslau,32.0
Briar,47.0
Brigantia,23.0
British Virgin Islands,62.0
Bronia,39.0
Brunei,27.0
Brussels Swimming and Water Polo Club,25.0
Brynhild-2,44.0
Bu III,41.0
Bucintoro Venezia,25.0
Bucintoro Venezia-1,25.0
Bulgaria,70.0
