Deporte,Medalla_Oro
Alpine Skiing,0
Archery,0
Art Competitions,0
Athletics,5
Badminton,0
Basketball,0
Beach Volleyball,0
Bobsleigh,0
Boccia,0
Boxing,2
Canoeing,0
Cross Country Skiing,0
Cycling,0
Diving,1
Equestrian,0
Equestrianism,4
Fencing,0
Figure Skating,0
Football,16
Golf,0
Gymnastics,0
Hockey,0
Judo,0
Modern Pentathlon,0
Polo,0
Powerlifting,1
Rowing,0
Sailing,0
Shooting,0
Skeleton,0
Swimming,4
Synchronized Swimming,0
Table Tennis,0
Taekwondo,3
Tennis,0
Triathlon,0
Volleyball,0
Water Polo,0
Weightlifting,1
Wrestling,0
