Equipo,Edad
30. Februar,23.0
A North American Team,38.0
Acipactli,44.0
Acturus,27.0
Afghanistan,17.0
Akatonbo,36.0
Alain IV,40.0
Albania,16.0
Alcaid,28.0
Aldebaran,25.0
Aldebaran II,36.0
Aletta,26.0
Algeria,14.0
Ali-Baba II,26.0
Ali-Baba IV,35.0
Ali-Baba IX,38.0
Ali-Baba VI,33.0
Allegro,30.0
Almaz,24.0
Aloha II,16.0
Amateur Athletic Association,22.0
American Samoa,16.0
Amolgavar,22.0
Amstel Amsterdam,20.0
Amulet-3,31.0
Amulet-7,31.0
Ancora,30.0
Andorinha,24.0
Andorra,15.0
Andromeda,21.0
Angelita,17.0
Angerburg,19.0
Angola,13.0
Anitra,23.0
Antares,27.0
Antigua and Barbuda,14.0
Antwerpia V,25.0
Apache,33.0
Aphrodite,27.0
Arcturus,26.0
Ardilla,36.0
Aretusa,31.0
Argentina,13.0
Argentina-1,19.0
Argentina-2,19.0
Argeste,24.0
Argo II,35.0
Argonaut Rowing Club,18.0
Argus,25.0
Ariel,29.0
Ariette-10,62.0
Ariette-8,62.0
Armenia,15.0
Aruba,15.0
Aschenbrodel,44.0
Astrid III,35.0
Atalanta Boat Club-1,23.0
Atalanta Boat Club-2,23.0
Atlanta,25.0
Augsburg,29.0
Ausonia,38.0
Australasia,16.0
Australia,13.0
Australia-1,19.0
Australia-2,20.0
Australia-3,29.0
Australia/Great Britain,22.0
Austria,12.0
Austria-1,15.0
Austria-2,15.0
Azerbaijan,14.0
"BLO Polo Club, Rugby",24.0
Babe,17.0
Baccara,24.0
"Bagatelle Polo Club, Paris",26.0
Bahamas,16.0
Bahrain,14.0
Bajazzo,24.0
Balaton,25.0
Ballerina IV,34.0
Bamba,26.0
Bangladesh,14.0
Barbados,14.0
Barco Deloro,28.0
Barion/Bari-2,23.0
Barrenjoey,25.0
Beatrijs III-1,14.0
Beaver,25.0
Belarus,15.0
Belarus-1,19.0
Belarus-2,19.0
Belgium,12.0
Belgium-1,19.0
Belgium-2,21.0
Belgium-3,25.0
Belgium-4,25.0
Belize,18.0
Bella,25.0
Bellatrix IX,22.0
Bellatrix XIII,26.0
Bem II,28.0
Benin,15.0
Bera,21.0
Berliner Ruderclub,19.0
Berliner Ruderclub Sport-Borussia-1,20.0
Berliner Ruderverein von 1876-2,20.0
Bermuda,15.0
Bermudes,34.0
Bermudian,34.0
Bhutan,16.0
Bim,29.0
Bingo,26.0
Bissbi,20.0
Blue Red,20.0
Bluebottle,26.0
Bohemia,17.0
Bohemia-1,23.0
Bohemia-2,24.0
Bohemia-3,22.0
Bohemia/Great Britain,31.0
Bolivia,14.0
Bona Fide,50.0
Bonaparte,46.0
Bonzo,43.0
Boreas,26.0
Boreas-2,20.0
Bosnia and Herzegovina,16.0
Boston Archers,15.0
Botswana,18.0
Brandenburg,41.0
Brazil,13.0
Brazil-1,23.0
Brazil-2,23.0
Bremen,19.0
Brentina,53.0
Breslau,32.0
Briar,47.0
Brigantia,23.0
British Virgin Islands,16.0
Bronia,34.0
Brunei,16.0
Brussels Swimming and Water Polo Club,23.0
Brynhild-2,44.0
Bu III,35.0
Bucintoro Venezia,14.0
Bucintoro Venezia-1,14.0
Bulgaria,14.0
Bulgaria-1,21.0
Bulgaria-2,18.0
Buraddoo,21.0
Burevestnik,26.0
Burkina Faso,16.0
Burundi,15.0
Buscape II,18.0
Bylina-2,21.0
Calcinhas,28.0
Calimucho,32.0
Calypse II,22.0
Cambodia,12.0
Cambria,23.0
Cambridge University Boat Club-2,19.0
Camelia,24.0
Cameroon,12.0
Camille,46.0
Canada,13.0
Canada-1,15.0
Canada-2,16.0
Canada-3,16.0
Canopus,28.0
Cape Verde,17.0
Caprice,19.0
Carabinier-15,31.0
Carabinier-5,31.0
Cayman Islands,16.0
Central African Republic,16.0
"Central Turnverein, Chicago",21.0
Century Boat Club-1,24.0
Cercle de l'Aviron Roubaix-4,22.0
Ceres II,32.0
Cha-Cha III,25.0
Chad,15.0
Chaje II,28.0
Chamukina,32.0
Chance,23.0
Chicago Archers,43.0
Chicago Athletic Association,20.0
Chicago Athletic Association-2,17.0
Chile,15.0
China,11.0
China-1,20.0
China-2,16.0
China-3,16.0
Chinese Taipei,14.0
Chinese Taipei-1,21.0
Chinese Taipei-2,19.0
Chok,25.0
Christian Brothers' College-1,15.0
Chuckles,24.0
Cincinnati Archers,44.0
Ciocca,29.0
Ciocca II,30.0
Ciocca III,35.0
Circus,28.0
Ciss,47.0
Clearwater,46.0
Clementine V,34.0
Club Nautique de Dieppe-5,20.0
Club Nautique de Lyon-2,24.0
Cobweb-1,26.0
Colette-10,30.0
Colette-12,30.0
Colombia,12.0
Comanche,32.0
Combine,30.0
Comoros,17.0
Compigne Polo Club,30.0
Complex II,15.0
"Concordia Turnverein, St Louis",19.0
Congo,32.0
Congo (Brazzaville),15.0
Congo (Kinshasa),16.0
Cook Islands,17.0
Cornwall,21.0
Costa Rica,15.0
Cote d'Ivoire,12.0
Crabe I-11,29.0
Crabe I-2,29.0
Crabe I-3,29.0
Crabe II-1,27.0
Crabe II-12,27.0
Crabe II-4,27.0
Croatia,14.0
Crocodile-11,27.0
Crocodile-13,27.0
Cuba,15.0
Cuba-1,29.0
Cuba-2,30.0
Cupidon III,20.0
Cupidon Viking,26.0
Cuxhaven,27.0
Cyprus,14.0
Czech Republic,15.0
Czech Republic-1,18.0
Czech Republic-2,17.0
Czechoslovakia,13.0
Czechoslovakia-1,21.0
Czechoslovakia-2,14.0
Czechoslovakia-3,25.0
Côte d'Ivoire,23.0
Daisy,22.0
Damoiselle,26.0
Damoiselle IV,18.0
Danaldo,28.0
Dansk Idrts Forbund,23.0
Danuta,20.0
Danzig,29.0
"Davenport Turngemeinde, Davenport",19.0
DeRuyter,26.0
Democratic Republic of the Congo,31.0
Denmark,12.0
Denmark-1,21.0
Denmark-2,21.0
Denmark-3,22.0
Denmark-4,27.0
Denmark/Sweden,19.0
Deutscher Schwimm Verband Berlin,18.0
Devon and Somerset Wanderers,21.0
Diablo,23.0
Diabolo St Maurice,51.0
Digby,33.0
Dinah V,24.0
Djibouti,16.0
Djinn,20.0
Dolfijn,28.0
Dominica,16.0
Dominican Republic,15.0
Don Schufro,30.0
Donar III,33.0
Dormy-1,35.0
Dow Jones,58.0
Dresden,36.0
Druzhba,24.0
Dylan-2,27.0
EA II,29.0
East Germany,12.0
East Germany-1,15.0
East Germany-2,16.0
East Germany-3,15.0
Ecuador,15.0
Edelweiss II-1,25.0
Egypt,14.0
Eissero VI,32.0
El Salvador,13.0
Eleda,18.0
Elisabeth V,25.0
Elisabeth X,23.0
Elsie,18.0
Elvis Va,43.0
Emily,20.0
Encore,31.0
England,21.0
England-1,21.0
Enotria,35.0
Equatorial Guinea,16.0
Eritrea,18.0
Erna Signe,20.0
Escapade,25.0
Espadarte,28.0
Espardate,25.0
Esperia,23.0
Espuma del Mar,20.0
Essen,21.0
Esterel-1,40.0
Estonia,14.0
Ethiopia,16.0
Ethnikos Gymnastikos Syllogos,10.0
Evita VI,31.0
Fada,27.0
Falcon IV,30.0
Falcon VI,18.0
Faneca,35.0
Fantasio III,21.0
Faroe Islands,45.0
Favorite Hammonia-3,21.0
Favorite-1,44.0
Favorite-17,44.0
Federated States of Micronesia,15.0
Femur-1,24.0
Femur-18,24.0
Feo,20.0
Fiji,14.0
Finland,15.0
Finland-1,22.0
Finland-2,34.0
Finn II,24.0
Firebird II,24.0
Floresco,32.0
Formosa,29.0
Fornebo,20.0
Fortuna,34.0
Foxhunters Hurlingham,32.0
Fram,20.0
Fram III,27.0
France,12.0
France-1,20.0
France-2,17.0
France-3,20.0
France-4,26.0
France/Great Britain,33.0
Frankfurt Club,19.0
Freddy,43.0
Freia-19,38.0
Freia-5,38.0
Freja,34.0
Frieda,20.0
Frip IV,37.0
Fruits,22.0
Gabbiano,30.0
Gabon,16.0
Galatea II,29.0
Galejan,21.0
Galerna,28.0
Gallant,15.0
Gallia II,38.0
Galopin De La Font,41.0
Galt Football Club,22.0
Gambia,17.0
Gem,41.0
Gem II,25.0
Gem III,29.0
Gem IV,33.0
Gem VII,37.0
Georgia,15.0
Germania II,27.0
"Germania Ruder Club, Hamburg",19.0
"Germania Ruder Club, Hamburg-2",15.0
Germany,12.0
Germany-1,15.0
Germany-2,15.0
Germany-3,18.0
Germany/United States,24.0
Ghana,14.0
Gilliatt V,47.0
Girl Pat,23.0
Giselle-6,34.0
Gitana-2,16.0
Gitana-21,16.0
Glider,25.0
Glisten,21.0
Gran Gesto,40.0
Great Britain,11.0
Great Britain-1,16.0
Great Britain-2,12.0
Great Britain-3,23.0
Great Britain-4,23.0
Great Britain/Germany,20.0
Greece,13.0
Greece-1,17.0
Greece-2,17.0
Greece-3,15.0
Greece-4,20.0
Greenoaks Dundee,50.0
Grenada,18.0
Grifo III,27.0
Grifo IV,28.0
Grifone,25.0
Gteborgs Roddfrening-2,25.0
Gteborgs Roddklubb-1,19.0
Guam,15.0
Guanahani,20.0
Guatemala,14.0
Guinea,16.0
Guinea Bissau,20.0
Guinea-Bissau,27.0
Gullvinge,26.0
Gustel V,22.0
Gustel X,40.0
Gustl XI,44.0
Guyana,15.0
Guyoni,36.0
GyoshuII,23.0
Gyrinus-1,26.0
Haiti,17.0
Hakahana,32.0
Hamburg,27.0
Hannover,34.0
Harmony,21.0
Hatuey,45.0
Hayama,26.0
Heatherbell,20.0
Heidelberg,30.0
Heira II,24.0
Helsingfors R. K.,27.0
Hera-1,24.0
Heroine,42.0
Hi-Hi,29.0
Hilarius,22.0
Hirondelle,40.0
Hojwa,31.0
Holland,21.0
Hollandia,38.0
Honduras,16.0
Hong Kong,13.0
"Hong Kong, China",17.0
Hong Kong-1,22.0
Hong Kong-2,22.0
Hornet,19.0
Humbug V,32.0
Hungaria,29.0
Hungaria Evezos Egylet,18.0
Hungary,12.0
Hungary-1,20.0
Hungary-2,17.0
Hungary-3,21.0
Hurlingham-2,24.0
Iceland,14.0
Ilderim,21.0
Impala,36.0
Inca,31.0
Independent Rowing Club-3,26.0
India,15.0
India-1,32.0
India-2,21.0
Individual Olympic Athletes,15.0
Indonesia,14.0
Indonesia-1,20.0
Indonesia-2,21.0
Inga-Lill XXXXIII,23.0
Ingegerd,27.0
Iran,14.0
Iraq,14.0
Ireland,15.0
Ireland-1,24.0
Ireland-2,21.0
Ireland-3,23.0
Irene,34.0
Islamic Republic of Iran,20.0
Israel,15.0
Israel-1,26.0
Israel-2,18.0
Italia,26.0
Italy,11.0
Italy-1,17.0
Italy-2,17.0
Italy-3,18.0
Jamaica,13.0
Jamaica-1,28.0
Jamaica-2,24.0
Japan,11.0
Japan-1,19.0
Japan-2,17.0
Japan-3,22.0
Jest,28.0
Jet,23.0
Jill,26.0
Jo,30.0
Johan,19.0
John B,30.0
Jordan,13.0
Joy,18.0
June Climene,25.0
Jupiter,29.0
K Division Metropolitan Police Team-3,26.0
K.S.S.S. 1912-2,23.0
KNS,35.0
Kalayaan,30.0
Kannibaltje,28.0
Kathleen,36.0
Kazakhstan,13.0
Kemphaan,22.0
Kenya,14.0
Kerstin-1,19.0
Kiel,25.0
Kingfisher,40.0
Kiribati,16.0
Kitty-1,25.0
