Equipo,Juegos,Año,Medalla_Oro
30. Februar,1952 Verano,1952-01-01,0
A North American Team,1900 Verano,1900-01-01,0
Acipactli,1964 Verano,1964-01-01,0
Acturus,1948 Verano,1948-01-01,0
Afghanistan,1936 Verano,1936-01-01,0
Afghanistan,1948 Verano,1948-01-01,0
Afghanistan,1956 Verano,1956-01-01,0
Afghanistan,1960 Verano,1960-01-01,0
Afghanistan,1964 Verano,1964-01-01,0
Afghanistan,1968 Verano,1968-01-01,0
Afghanistan,1972 Verano,1972-01-01,0
Afghanistan,1980 Verano,1980-01-01,0
Afghanistan,1988 Verano,1988-01-01,0
Afghanistan,1996 Verano,1996-01-01,0
Afghanistan,2004 Verano,2004-01-01,0
Afghanistan,2008 Verano,2008-01-01,0
Afghanistan,2012 Verano,2012-01-01,0
Afghanistan,2016 Verano,2016-01-01,0
Afghanistan,2020 Verano,2020-01-01,0
Akatonbo,1964 Verano,1964-01-01,0
Alain IV,1964 Verano,1964-01-01,0
Albania,1972 Verano,1972-01-01,0
Albania,1992 Verano,1992-01-01,0
Albania,1996 Verano,1996-01-01,0
Albania,2000 Verano,2000-01-01,0
Albania,2004 Verano,2004-01-01,0
Albania,2006 Invierno,2006-01-01,0
Albania,2008 Verano,2008-01-01,0
Albania,2010 Invierno,2010-01-01,0
Albania,2012 Verano,2012-01-01,0
Albania,2014 Invierno,2014-01-01,0
Albania,2016 Verano,2016-01-01,0
Alcaid,1952 Verano,1952-01-01,0
Alcyon-6,1900 Verano,1900-01-01,0
Alcyon-7,1900 Verano,1900-01-01,0
Aldebaran,1964 Verano,1964-01-01,0
Aldebaran II,1960 Verano,1960-01-01,0
Aletta,1960 Verano,1960-01-01,0
Algeria,1964 Verano,1964-01-01,0
Algeria,1968 Verano,1968-01-01,0
Algeria,1972 Verano,1972-01-01,0
Algeria,1980 Verano,1980-01-01,0
Algeria,1984 Verano,1984-01-01,0
Algeria,1988 Verano,1988-01-01,0
Algeria,1992 Invierno,1992-01-01,0
Algeria,1992 Verano,1992-01-01,1
Algeria,1996 Verano,1996-01-01,2
Algeria,2000 Verano,2000-01-01,1
Algeria,2004 Verano,2004-01-01,0
Algeria,2006 Invierno,2006-01-01,0
Algeria,2008 Verano,2008-01-01,0
Algeria,2010 Invierno,2010-01-01,0
Algeria,2012 Verano,2012-01-01,1
Algeria,2016 Verano,2016-01-01,0
Algeria,2020 Verano,2020-01-01,4
Ali-Baba II,1948 Verano,1948-01-01,0
Ali-Baba IV,1952 Verano,1952-01-01,0
Ali-Baba IX,1964 Verano,1964-01-01,0
Ali-Baba VI,1960 Verano,1960-01-01,0
Allegro,1948 Verano,1948-01-01,0
Almaz,1964 Verano,1964-01-01,0
Aloha II,1924 Verano,1924-01-01,0
Aloha II,1948 Verano,1948-01-01,0
Amateur Athletic Association,1900 Verano,1900-01-01,5
American Samoa,1988 Verano,1988-01-01,0
American Samoa,1992 Verano,1992-01-01,0
American Samoa,1994 Invierno,1994-01-01,0
American Samoa,1996 Verano,1996-01-01,0
American Samoa,2000 Verano,2000-01-01,0
American Samoa,2004 Verano,2004-01-01,0
American Samoa,2008 Verano,2008-01-01,0
American Samoa,2012 Verano,2012-01-01,0
American Samoa,2016 Verano,2016-01-01,0
Amolgavar,1924 Verano,1924-01-01,0
Amstel Amsterdam,1908 Verano,1908-01-01,0
Amulet-3,1900 Verano,1900-01-01,0
Amulet-7,1900 Verano,1900-01-01,0
Ancora,1920 Verano,1920-01-01,4
Andorinha,1948 Verano,1948-01-01,0
Andorra,1976 Invierno,1976-01-01,0
Andorra,1976 Verano,1976-01-01,0
Andorra,1980 Invierno,1980-01-01,0
Andorra,1980 Verano,1980-01-01,0
Andorra,1984 Invierno,1984-01-01,0
Andorra,1984 Verano,1984-01-01,0
Andorra,1988 Invierno,1988-01-01,0
Andorra,1988 Verano,1988-01-01,0
Andorra,1992 Invierno,1992-01-01,0
Andorra,1992 Verano,1992-01-01,0
Andorra,1994 Invierno,1994-01-01,0
Andorra,1996 Verano,1996-01-01,0
Andorra,1998 Invierno,1998-01-01,0
Andorra,2000 Verano,2000-01-01,0
Andorra,2002 Invierno,2002-01-01,0
Andorra,2004 Verano,2004-01-01,0
Andorra,2006 Invierno,2006-01-01,0
Andorra,2008 Verano,2008-01-01,0
Andorra,2010 Invierno,2010-01-01,0
Andorra,2012 Verano,2012-01-01,0
Andorra,2014 Invierno,2014-01-01,0
Andorra,2016 Verano,2016-01-01,0
Andromeda,1964 Verano,1964-01-01,0
Angelita,1932 Verano,1932-01-01,12
Angelita,1936 Verano,1936-01-01,0
Angerburg,1936 Verano,1936-01-01,0
Angola,1980 Verano,1980-01-01,0
Angola,1988 Verano,1988-01-01,0
Angola,1992 Verano,1992-01-01,0
Angola,1996 Verano,1996-01-01,0
Angola,2000 Verano,2000-01-01,0
Angola,2004 Verano,2004-01-01,0
Angola,2008 Verano,2008-01-01,0
Angola,2012 Verano,2012-01-01,0
Angola,2016 Verano,2016-01-01,0
Angola,2020 Verano,2020-01-01,0
Anitra,1936 Verano,1936-01-01,0
Antares,1948 Verano,1948-01-01,0
Antigua and Barbuda,1976 Verano,1976-01-01,0
Antigua and Barbuda,1984 Verano,1984-01-01,0
Antigua and Barbuda,1988 Verano,1988-01-01,0
Antigua and Barbuda,1992 Verano,1992-01-01,0
Antigua and Barbuda,1996 Verano,1996-01-01,0
Antigua and Barbuda,2000 Verano,2000-01-01,0
Antigua and Barbuda,2004 Verano,2004-01-01,0
Antigua and Barbuda,2008 Verano,2008-01-01,0
Antigua and Barbuda,2012 Verano,2012-01-01,0
Antigua and Barbuda,2016 Verano,2016-01-01,0
