Equipo,Medalla_Oro
30. Februar,0
A North American Team,0
Acipactli,0
Acturus,0
Afghanistan,0
Akatonbo,0
Alain IV,0
Albania,0
Alcaid,0
Alcyon-6,0
Alcyon-7,0
Aldebaran,0
Aldebaran II,0
Aletta,0
Algeria,9
Ali-Baba II,0
Ali-Baba IV,0
Ali-Baba IX,0
Ali-Baba VI,0
Allegro,0
Almaz,0
Aloha II,0
Amateur Athletic Association,5
American Samoa,0
Amolgavar,0
Amstel Amsterdam,0
Amulet-3,0
Amulet-7,0
Ancora,4
Andorinha,0
Andorra,0
Andromeda,0
Angelita,12
Angerburg,0
Angola,0
Anitra,0
Antares,0
Antigua and Barbuda,0
Antwerpia V,0
Apache,0
Aphrodite,0
Arcturus,0
Ardilla,0
Aretusa,0
Argentina,91
Argentina-1,0
Argentina-2,0
Argeste,0
Argo II,0
Argonaut Rowing Club,0
Argus,0
Ariel,0
Ariette-10,0
Ariette-8,0
Armenia,2
Aruba,0
Aschenbrodel,4
Astrid III,0
Atalanta Boat Club-1,2
Atalanta Boat Club-2,0
Athens-2,0
Atlanta,9
Augsburg,0
Ausonia,0
Australasia,20
Australia,363
Australia-1,2
Australia-2,0
Australia-3,0
Australia/Great Britain,0
Austria,96
Austria-1,12
Austria-2,0
Azerbaijan,19
"BLO Polo Club, Rugby",0
Babe,0
Baby-1,1
Baby-9,0
Baccara,0
"Bagatelle Polo Club, Paris",0
Bahamas,12
Bahrain,1
Bajazzo,0
Balaton,0
Ballerina IV,0
Bamba,0
Bangladesh,0
Barbados,0
Barco Deloro,0
Barion/Bari-2,0
Barrenjoey,3
Beatrijs III-1,3
Beaver,0
Belarus,25
Belarus-1,0
Belarus-2,0
Belgium,97
Belgium-1,1
Belgium-2,0
Belgium-3,0
Belgium-4,0
Belize,0
Bella,0
Bellatrix IX,0
Bellatrix XIII,0
Bem II,0
Benin,0
Bera,5
Berliner Ruderclub,0
Berliner Ruderclub Sport-Borussia-1,0
Berliner Ruderverein von 1876-2,0
Bermuda,0
Bermudes,0
Bermudian,0
Bhutan,0
Bim,0
Bingo,0
Bissbi,4
Blue Red,0
Bluebottle,0
Boer Team,0
Bohemia,0
Bohemia-1,0
Bohemia-2,0
Bohemia-3,0
Bohemia/Great Britain,0
Bolivia,0
Bona Fide,3
Bonaparte,1
Bonzo,0
Boreas,0
Boreas-2,0
Bosnia and Herzegovina,0
Boston Archers,0
Botswana,0
Brandenburg,0
Brat,0
Brazil,135
Brazil-1,6
Brazil-2,0
Bremen,0
Brentina,0
Breslau,0
Briar,0
Brigantia,0
British Virgin Islands,0
Bronia,0
Brunei,0
Brussels Swimming and Water Polo Club,0
Brynhild-2,0
Bu III,0
Bucintoro Venezia,8
Bucintoro Venezia-1,3
Bulgaria,54
Bulgaria-1,0
Bulgaria-2,0
Buraddoo,0
Burevestnik,0
Burkina Faso,0
Burundi,1
Buscape II,0
Bylina-2,0
C.V.A.-14,0
C.V.A.-7,0
Calcinhas,0
Calimucho,0
Calypse II,0
Cambodia,0
Cambria,0
Cambridge University Boat Club-2,0
Camelia,0
Cameroon,20
Camille,1
Canada,426
Canada-1,16
Canada-2,0
Canada-3,0
Canopus,0
Cape Verde,0
Caprice,0
Carabinier-15,1
Carabinier-5,0
Cayman Islands,0
Central African Republic,0
"Central Turnverein, Chicago",0
Century Boat Club-1,4
Cercle Nautique de Reims-4,0
Cercle de l'Aviron Roubaix-4,5
Ceres II,0
Cha-Cha III,0
Chad,0
Chaje II,0
Chamukina,0
Chance,0
Chicago Archers,0
Chicago Athletic Association,0
Chicago Athletic Association-2,0
Chile,5
China,308
China-1,28
China-2,14
China-3,0
Chinese Taipei,3
Chinese Taipei-1,0
Chinese Taipei-2,0
Chok,0
Christian Brothers' College-1,0
Chuckles,0
Cicely-1,1
Cinara-13,0
Cincinnati Archers,4
Ciocca,0
Ciocca II,0
Ciocca III,0
Circus,0
Ciss,0
Clearwater,0
Clementine V,0
