Equipo,Edad
30. Februar,33.5
A North American Team,41.333333333333336
Acipactli,47.333333333333336
Acturus,27.0
Afghanistan,23.666666666666668
Akatonbo,40.333333333333336
Alain IV,48.0
Albania,24.728813559322035
Alcaid,30.0
Aldebaran,32.5
Aldebaran II,37.5
Aletta,32.333333333333336
Algeria,25.55268022181146
Ali-Baba II,38.285714285714285
Ali-Baba IV,38.0
Ali-Baba IX,45.5
Ali-Baba VI,41.0
Allegro,34.0
Almaz,25.5
Aloha II,30.25
American Samoa,27.216216216216218
Amolgavar,23.0
Amstel Amsterdam,22.0
Amulet-7,32.5
Ancora,33.333333333333336
Andorinha,32.0
Andorra,24.377551020408163
Andromeda,25.0
Angelita,29.555555555555557
Angerburg,19.0
Angola,25.4672131147541
Anitra,30.5
Antares,28.5
Antigua and Barbuda,23.39325842696629
Antwerpia V,38.666666666666664
Apache,42.6
Aphrodite,31.333333333333332
Arcturus,32.0
Ardilla,39.0
Aretusa,35.666666666666664
Argentina,26.204296361245067
Argentina-1,31.727272727272727
Argentina-2,27.88888888888889
Argeste,38.666666666666664
Argo II,44.333333333333336
Argonaut Rowing Club,22.666666666666668
Argus,36.0
Ariel,29.0
Ariette-8,62.0
Armenia,24.893048128342247
Aruba,24.692307692307693
Aschenbrodel,44.0
Astrid III,45.666666666666664
Atalanta Boat Club-1,25.0
Atlanta,39.22222222222222
Augsburg,29.0
Ausonia,40.666666666666664
Australasia,23.863636363636363
Australia,25.63039126478617
Australia-1,27.607142857142858
Australia-2,28.615384615384617
Australia-3,31.5
Austria,26.850409165302782
Austria-1,28.010309278350515
Austria-2,28.11340206185567
Azerbaijan,25.77054794520548
"BLO Polo Club, Rugby",29.0
Babe,26.5
Baccara,42.666666666666664
"Bagatelle Polo Club, Paris",30.75
Bahamas,26.421875
Bahrain,24.132653061224488
Bajazzo,33.666666666666664
Balaton,29.5
Ballerina IV,47.0
Bamba,32.25
Bangladesh,22.674418604651162
Barbados,24.533783783783782
Barco Deloro,39.25
Barion/Bari-2,31.5
Barrenjoey,37.333333333333336
Beatrijs III-1,28.333333333333332
Beaver,39.333333333333336
Belarus,26.23599320882852
Belarus-1,29.0
Belarus-2,22.0
Belgium,26.660940325497286
Belgium-1,34.869565217391305
Belgium-2,30.88888888888889
Belize,26.18032786885246
Bella,29.5
Bellatrix IX,29.0
Bellatrix XIII,36.5
